Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Real,S11_Imaginary,S11_Quality Factor
45704444,-2.331396529,0.7645927463,97.33017304,-0.09755204979,0.7583440283,-7.773737507
45786666,-2.325419312,0.7651190838,96.6181207,-0.08818098025,0.7600206097,-8.618872319
45868888,-2.31981463,0.7656129461,95.91920654,-0.07895457978,0.7615309302,-9.64517742
45951111,-2.315030469,0.7660347594,95.25753526,-0.07019374228,0.7628119632,-10.867236
46033333,-2.309432951,0.7665285805,94.57641405,-0.06116023544,0.7640847403,-12.49316218
46115555,-2.306049483,0.7668272293,93.90399674,-0.05220934393,0.7650478311,-14.65346571
46197777,-2.302936985,0.7671020631,93.24561445,-0.0434305328,0.7658716368,-17.63440574
46280000,-2.299344835,0.7674193726,92.55970058,-0.03427321272,0.7666536638,-22.36888821
46362222,-2.30432756,0.7669792631,91.85489199,-0.02482582846,0.7665773726,-30.87821918
46444444,-2.295969877,0.7677176162,91.25168243,-0.01677020936,0.7675344281,-45.76773083
46526666,-2.294331647,0.7678624278,90.60762986,-0.008143137163,0.7678192478,-94.29034934
46608888,-2.291382573,0.7681231802,89.95134068,0.0006523402723,0.7681229032,1177.488093
46691111,-2.292195598,0.768051285,89.29359044,0.009469196991,0.7679929106,81.10433348
46773333,-2.292037253,0.7680652868,88.64816186,0.01812007147,0.7678515142,42.37574424
46855555,-2.292023473,0.7680665054,88.01913174,0.02654882276,0.7676075277,28.91305331
46937777,-2.293943483,0.7678967435,87.39017917,0.03496557684,0.7671002654,21.93872759
47020000,-2.292906056,0.7679884652,86.75658353,0.04345130341,0.7667582845,17.64638168
47102222,-2.29202362,0.7680664924,86.14791486,0.05159942239,0.7663312836,14.85154771
47184444,-2.292842621,0.767994074,85.52361975,0.05994049168,0.7656513797,12.77352518
47266666,-2.29345047,0.7679403307,84.93740007,0.06776620928,0.7649445028,11.2879931
47348888,-2.294025381,0.7678895031,84.29813161,0.07629150998,0.7640902398,10.01540329
47431111,-2.296957248,0.7676303507,83.68104471,0.08448780634,0.7629666873,9.030494698
47513333,-2.297108896,0.7676169486,83.0677329,0.09264822467,0.7620053059,8.224715678
47595555,-2.299261706,0.7674267172,82.48633153,0.1003507953,0.7608373573,7.581777057
47677777,-2.300281272,0.7673366406,81.89238622,0.1082196277,0.7596670535,7.019679054
47760000,-2.304366399,0.7669758335,81.29684409,0.1160551532,0.7581445314,6.532622726
47842222,-2.305295181,0.7668938251,80.69653334,0.123978763,0.7568060553,6.104320104
47924444,-2.303114091,0.767086422,80.12169953,0.1315982776,0.7557138824,5.742581865
48006666,-2.305192606,0.7669028817,79.54003115,0.1392300717,0.7541584828,5.416635025
48088888,-2.306550933,0.7667829604,78.94269265,0.1470618601,0.7525482827,5.117222659
48171111,-2.307147972,0.7667302562,78.37472966,0.1545037708,0.7510019111,4.860735159
48253333,-2.308579941,0.7666038622,77.76924934,0.1624045264,0.7492037449,4.613194975
48335555,-2.311188553,0.7663736645,77.21652668,0.1695733636,0.7473777278,4.4074005
48417777,-2.312265382,0.7662786596,76.64361108,0.1770160418,0.745552349,4.211778444
48500000,-2.314430328,0.7660876895,76.06073185,0.1845453723,0.7435276414,4.028969311
48582222,-2.316393836,0.7659145295,75.50732243,0.191674915,0.7415428466,3.868752709
48664444,-2.315463975,0.7659965282,74.93359581,0.199111875,0.7396655612,3.714823946
48746666,-2.317195396,0.7658438518,74.39341111,0.2060354159,0.7376084413,3.58000802
48828888,-2.318612186,0.7657189422,73.83011169,0.2132423017,0.7354272359,3.448786803
48911111,-2.32054352,0.7655487012,73.26900928,0.2203850535,0.73314067,3.32663517
48993333,-2.323833448,0.7652587915,72.72729591,0.227220632,0.7307474272,3.216025855
49075555,-2.324371009,0.7652114319,72.16343809,0.2343864202,0.7284308763,3.107820306
49157777,-2.327717823,0.7649166403,71.5959793,0.2414961337,0.7257941058,3.005406731
49240000,-2.330675871,0.7646561863,71.06930594,0.2480729725,0.7232972305,2.915663174
49322222,-2.332273077,0.7645155903,70.5138638,0.2550261622,0.7207258455,2.826085917
49404444,-2.334183344,0.7643474707,69.97187524,0.261774768,0.7181232672,2.743286806
49486666,-2.337050637,0.7640951942,69.4400799,0.2683401188,0.7154264787,2.666118216
49568888,-2.338420688,0.7639746806,68.89435605,0.2750986552,0.7127257836,2.590800682
49651111,-2.341804136,0.7636771446,68.36970273,0.2815037327,0.7099002956,2.521814858
49733333,-2.34546786,0.7633550921,67.85531002,0.2877442816,0.7070461265,2.457203051
49815555,-2.346976768,0.7632224941,67.31686278,0.2943249344,0.7041884751,2.392554598
49897777,-2.349635745,0.7629888875,66.79062288,0.3006880696,0.7012408483,2.332120623
49980000,-2.349417353,0.7630080718,66.25184285,0.3072765122,0.6983999303,2.272871184
50062222,-2.351276552,0.7628447688,65.73605535,0.3134839977,0.6954566302,2.218475697
50144444,-2.355433901,0.7624797338,65.22180751,0.3195602433,0.6922836091,2.166363381
50226666,-2.355906277,0.762438268,64.69170413,0.3259337907,0.6892599485,2.114723812
50308888,-2.357892217,0.7622639643,64.17127642,0.3321049884,0.6861141508,2.065955571
50391111,-2.360199056,0.7620615455,63.65959154,0.338129251,0.6829395353,2.019758815
50473333,-2.363657778,0.761758153,63.1540828,0.3440044361,0.6796590554,1.97572759
50555555,-2.364071211,0.7617218955,62.60889069,0.3504393104,0.6763228044,1.929928477
50637777,-2.368692552,0.761316728,62.08895506,0.3563724895,0.6727568722,1.887791263
50720000,-2.370750617,0.7611363603,61.58635677,0.3621742977,0.6694462914,1.848409166
50802222,-2.372662317,0.7609688582,61.07708287,0.3680292808,0.6660540907,1.809785594
50884444,-2.376677005,0.7606172136,60.56119493,0.3738385636,0.6624071814,1.771907037
50966666,-2.380865733,0.760250498,60.06493412,0.3793788352,0.658826623,1.736592983
51048888,-2.38398749,0.7599773089,59.52801217,0.3853974494,0.6550071114,1.699562653
51131111,-2.386391489,0.7597669987,59.04979901,0.3907427486,0.6515872901,1.667560799
51213333,-2.389175229,0.75952354,58.55213985,0.3962604712,0.647961146,1.635189965
51295555,-2.39228132,0.7592519814,58.03547598,0.4019435,0.6441311932,1.602541634
51377777,-2.396792962,0.7588577117,57.52939875,0.4074055032,0.6402232287,1.571464361
51460000,-2.399868364,0.7585890714,57.03885671,0.412725664,0.636486375,1.542153616
51542222,-2.405911039,0.7580615132,56.54785524,0.4178740598,0.6324859902,1.513580409
51624444,-2.40910276,0.7577830068,56.06419976,0.4230426832,0.6287049972,1.486150268
51706666,-2.416545823,0.7571339298,55.55380749,0.428259206,0.624376361,1.457940313
51788888,-2.419842139,0.7568466502,55.0636794,0.4334200896,0.6204545735,1.431531644
51871111,-2.423981028,0.7564860932,54.56994577,0.4385415425,0.6164028915,1.405574687
51953333,-2.429010529,0.7560481822,54.07984408,0.4435411722,0.6122745156,1.38042318
52035555,-2.433946642,0.7556186489,53.60979494,0.4482943978,0.6082694102,1.35685258
52117777,-2.436821009,0.7553686381,53.10232526,0.4535140928,0.6040751171,1.331987532
52200000,-2.444416945,0.7547083461,52.61528861,0.4582316169,0.5996736386,1.308669277
52282222,-2.446793635,0.7545018661,52.14321733,0.463030123,0.5957148405,1.28655742
52364444,-2.451476785,0.7540951728,51.6762312,0.4676178388,0.5916021353,1.26514022
52446666,-2.457504151,0.753572068,51.17277638,0.4724701214,0.5870628979,1.242539732
52528888,-2.461172036,0.753253916,50.69619419,0.47713534,0.5828664765,1.221595693
52611111,-2.466849858,0.7527616874,50.20417596,0.4818079047,0.5783695194,1.200415173
