% Model:              dipoleDriveBox_2.3.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Feb 3 2022, 22:20
% Table:              Table 16 - abs Ex
% freq (MHz)                                      Point average: 20*log10(abs(emw.Ex))              Point average: 20*log10(abs(emw.Ey))              Point average: 20*log10(abs(emw.Ez))
209                                               -25.93821106714712                                -28.595376139218946                               -32.322298368129246
209.5                                             -31.247395741971786                               -35.73177998757968                                -39.2854097526727
210                                               -29.86676664252741                                -27.142366974756623                               -30.65507015064862
210.5                                             -28.42020198484008                                -34.13662054051468                                -37.42245038674796
211                                               -29.22236850096537                                -39.67236806727224                                -41.32706270985921
211.5                                             -33.900551874332905                               -43.259814547137665                               -46.08576404580025
212                                               -34.411698530753                                  -43.89240730408233                                -47.72359794468612
212.5                                             -30.983718065270246                               -40.21145714709292                                -47.31272393139532
213                                               -2.720847631768181                                -9.895332892265314                                -21.119463249026108
213.5                                             -24.978199853153313                               -40.50241362341497                                -48.044423708405866
214                                               -9.498887366686084                                -45.58270346153647                                -49.53922130233272
214.5                                             -27.72039027831136                                -47.12704998246657                                -50.94813288255189
215                                               -32.0393878088798                                 -48.01017153687403                                -51.05457229513838
215.5                                             -34.14312237282399                                -48.48719924757834                                -50.929226827972585
216                                               -35.075169741613735                               -48.6557168507603                                 -50.58388410014189
216.5                                             -35.38526123147548                                -48.65728809069899                                -50.12345635883919
217                                               -35.27941231548297                                -48.436627297581204                               -49.38160496986593
217.5                                             -34.71667245229089                                -48.09838394322174                                -48.450257936012136
218                                               -33.630645192251556                               -47.55155926370755                                -47.10869445554299
218.5                                             -31.61209322370412                                -46.65613748008995                                -44.990241265333424
219                                               -27.12149756077826                                -44.74595016046328                                -40.598311404095845
219.5                                             11.444319086166741                                -11.335495512913319                               -4.915931475209339
220                                               -25.911667131210578                               -43.3727234990324                                 -39.29536714439524
220.5                                             -27.09634242116857                                -41.92119348054081                                -39.34520684642719
221                                               -23.021876795932176                               -38.41680079599092                                -35.995838521559115
221.5                                             -9.027534015505925                                -28.99263499698573                                -26.34497447460189
222                                               -18.815804468135546                               -28.956689965587994                               -26.6702101744101
222.5                                             -26.08689514490972                                -37.79102434320984                                -36.255786671630055
223                                               -29.808143314277004                               -40.69968248405862                                -40.11460460637965
