Frequency (MHz)		Gain (dB)
19.9035465717		73.3814179787
19.9401676655		73.3894135978
19.9767887592		73.3971045596
20.013409853		73.4096765975
20.0500309467		73.4151605681
20.0866520405		73.4222356673
20.1232731342		73.4355540079
20.159894228		73.4423479088
20.1965153217		73.4491743644
20.2331364155		73.459746999
20.2697575092		73.4628578379
20.306378603		73.473894474
20.3429996967		73.484299697
20.3796207905		73.4333503613
20.4162418842		73.4023688698
20.452862978		73.4050989832
20.4894840717		73.4153004654
20.5261051655		73.4255551819
20.5627262592		73.4349575716
20.599347353		73.4435553469
20.6359684467		73.4518843332
20.6725895405		73.4559009461
20.7092106342		73.4678343925
20.745831728		73.4764236583
20.7824528217		73.4861835165
20.8190739155		73.4945996074
20.8556950092		73.5028305263
20.892316103		73.5154227958
20.9289371967		73.5264687652
20.9655582905		73.5381216539
21.0021793842		73.5473531964
21.038800478		73.5577653265
21.0754215717		73.5660420396
21.1120426655		73.5748946383
21.1486637592		73.577734715
21.185284853		73.4947831435
21.2219059467		73.5058783105
21.2585270405		73.577282664
21.2951481342		73.6207189664
21.331769228		73.6347519155
21.3683903217		73.6405460697
21.4050114155		73.6521188037
21.4416325092		73.616385905
21.478253603		73.6342110785
21.5148746967		73.6827255922
21.5514957905		73.6911887123
21.5881168842		73.7034483184
21.624737978		73.7079869518
21.6613590717		73.7175051461
21.6979801655		73.7292478182
21.7346012592		73.7357074759
21.771222353		73.7467595501
21.8078434467		73.7590738687
21.8444645405		73.7651782099
21.8810856342		73.7745862016
21.917706728		73.7884933037
21.9543278217		73.7945005082
21.9909489155		73.8059732145
22.0275700092		73.8147877055
22.064191103		73.8282799362
22.1008121967		73.8357218921
22.1374332905		73.8393132318
22.1740543842		73.7762363679
22.210675478		73.764897911
22.2472965717		73.7712301738
22.2839176655		73.7825651647
22.3205387592		73.7970669338
22.357159853		73.8662583499
22.3937809467		73.9135166125
22.4304020405		73.9260450352
22.4670231342		73.93587417
22.503644228		73.9470480541
22.5402653217		73.9578956292
22.5768864155		73.9666031786
22.6135075092		73.9787375265
22.650128603		73.9895348335
22.6867496967		73.998548967
22.7233707905		74.0072202827
22.7599918842		74.0189706979
22.796612978		74.0303283494
22.8332340717		74.0349005116
22.8698551655		74.0500133591
22.9064762592		74.0573492835
22.943097353		74.0688000787
22.9797184467		74.080552725
23.0163395405		74.0858303728
23.0529606342		74.094671926
23.089581728		74.1064181321
23.1262028217		74.1164232791
23.1628239155		74.1277384611
23.1994450092		74.1384730379
23.236066103		74.1486938919
23.2726871967		74.1567812255
23.3093082905		74.1710440542
23.3459293842		74.1777060044
23.382550478		74.1891283501
23.4191715717		74.196800476
23.4557926655		74.210995408
23.4924137592		74.219213785
23.529034853		74.233092803
23.5656559467		74.2412091166
23.6022770405		74.2526564622
23.6388981342		74.2689460615
23.675519228		74.3350608986
23.7121403217		74.3858460485
23.7487614155		74.3986370405
23.7853825092		74.4129009185
23.822003603		74.4194286978
23.8586246967		74.4697277884
23.8952457905		74.4851922082
23.9318668842		74.4508655111
23.968487978		74.4613156539
24.0051090717		74.4730302997
24.0417301655		74.4820019468
24.0783512592		74.495040189
24.114972353		74.4447473072
24.1515934467		74.4150947115
24.1882145405		74.4243313803
24.2248356342		74.442591467
24.261456728		74.5201194895
24.2980778217		74.4957727525
24.3346989155		74.5657300484
24.3713200092		74.5760145754
24.407941103		74.584794482
24.4445621967		74.4945880445
24.4811832905		74.5079524219
24.5178043842		74.5173813242
24.554425478		74.5333993134
24.5910465717		74.5380189375
24.6276676655		74.5482577821
24.6642887592		74.5544636249
24.700909853		74.4700975876
24.7375309467		74.4795130617
24.7741520405		74.4894041925
24.8107731342		74.5693452982
24.847394228		74.5214774875
24.8840153217		74.51943704
24.9206364155		74.5337126082
24.9572575092		74.5808014172
24.993878603		74.6500139368
25.0304996967		74.6609190568
25.0671207905		74.672186958
25.1037418842		74.6822412836
25.140362978		74.6723872919
25.1769840717		74.6059044392
25.2136051655		74.6155832375
25.2502262592		74.6948059425
25.286847353		74.6485647167
25.3234684467		74.7415040947
25.3600895405		74.6609952498
25.3967106342		74.6670602516
25.433331728		74.6782931847
25.4699528217		74.6905520449
25.5065739155		74.6999658187
25.5431950092		74.7099726786
25.579816103		74.7174909211
25.6164371967		74.7314070501
