Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,
372891111,-9.760685911,0.3250616268,139.2512391,-22180.74876,1.963233503,
372995555,-10.89781718,0.2851734837,131.8038764,-22188.19612,1.79788166,
373100000,-12.40055732,0.2398679005,130.5358784,-22189.46412,1.631121619,
373204444,-12.86210196,0.2274546931,140.8123696,-22179.18763,1.588844929,
373308888,-10.55999077,0.2964834541,144.9753,-22175.0247,1.842861354,
373413333,-8.648192181,0.3694795372,133.2741247,-22186.72588,2.1719827,
373517777,-8.016093857,0.3973702112,117.2699024,-22202.7301,2.318787151,
373622222,-8.716275198,0.3665947491,102.1304975,-22217.8695,2.157536186,
373726666,-10.08191391,0.3132595391,97.93915784,-22222.06084,1.912308381,
373831111,-9.474172782,0.3359629305,99.90033919,-22220.09966,2.011880047,
373935555,-8.094532943,0.393797861,90.11895296,-22229.88105,2.299229533,
374040000,-7.623893566,0.4157242148,74.42207626,-22245.57792,2.423041055,
374144444,-7.934383379,0.4011260169,58.30983863,-22261.69016,2.339600745,
374248888,-8.654423781,0.3692145531,42.68389266,-22277.31611,2.170650194,
374353333,-10.0031364,0.3161135997,26.09648627,-22293.90351,1.924462307,
374457777,-12.50734659,0.2369368827,12.59116637,-22307.40883,1.621015162,
374562222,-15.57110758,0.1665116486,12.9364333,-22307.06357,1.399553631,
374666666,-15.81695638,0.1618647127,23.65264308,-22296.34736,1.386249607,
374771111,-14.29332879,0.1929005921,16.91601654,-22303.08398,1.4780095,
374875555,-14.2642251,0.1935480255,0.5863130623,-22319.41369,1.479998888,
374980000,-13.57739972,0.2094739461,-10.83963227,-22330.83963,1.529960892,
375084444,-12.82018196,0.2285550923,-39.7379661,-22359.73797,1.592537691,
375188888,-12.59268435,0.2346204063,-69.7480246,-22389.74802,1.613082471,
375293333,-12.1170668,0.2478258818,-104.1747635,-22424.17476,1.658958812,
375397777,-11.63086176,0.2620938994,-138.0235904,-22458.02359,1.710371954,
375502222,-11.03578281,0.2806796067,-167.7801247,-22487.78012,1.780402195,
375606666,-10.41564373,0.3014517527,166.8551845,-22513.14482,1.863080693,
375711111,-9.865250354,0.3211718566,145.4924545,-22534.50755,1.946253804,
375815555,-9.356086272,0.3405616069,126.3983554,-22553.60164,2.032883771,
375920000,-9.16280413,0.3482248769,107.9207509,-22572.07925,2.068543013,
376024444,-9.581607628,0.3318330346,92.12053051,-22587.87947,1.993263815,
376128888,-10.11817675,0.3119544335,81.14510914,-22598.85489,1.906784227,
376233333,-10.5348151,0.2973440449,72.91171426,-22607.08829,1.8463432,
376337777,-10.73837129,0.2904567244,66.44490623,-22613.55509,1.818714614,
376442222,-10.78915258,0.2887635491,60.35223975,-22619.64776,1.812004359,
376546666,-10.80128362,0.2883605326,54.9350276,-22625.06497,1.810411861,
376651111,-10.51399079,0.2980577787,50.89317376,-22629.10683,1.849237358,
376755555,-9.606780807,0.3308727185,44.84216388,-22635.15784,1.988967952,
376860000,-8.524890067,0.3747619557,31.25401648,-22648.74598,2.198781677,
376964444,-8.710045827,0.3668577589,7.918410447,-22672.08159,2.158847839,
377068888,-12.30736526,0.2424553307,-15.14020382,-22695.1402,1.640108341,
377173333,-18.87919024,0.1137733348,7.528233427,-22672.47177,1.256758997,
377277777,-13.98511273,0.1998685047,40.39605731,-22639.60394,1.499589145,
377382222,-10.78584833,0.2888734201,27.53210015,-22652.4679,1.812438821,
377486666,-9.688247689,0.327783898,13.06044373,-22666.93956,1.975233699,
377591111,-9.243686318,0.3449972904,-0.1208476689,-22680.12085,2.053422483,
377695555,-9.100720245,0.3507227903,-12.94126301,-22692.94126,2.080348379,
377800000,-9.206084229,0.3464940558,-26.2087545,-22706.20875,2.060415927,
