"Freq., MHz","CST AF(f) + 5.6, dB (FreeSpace)",,,
311.44,19.005521,,,
311.75,19.035372,,,
312.06,19.065209,,,
312.37,19.095031,,,
312.68,19.124836,,,
312.99,19.154623,,,
313.3,19.18439,,,
313.61,19.214138,,,
313.92,19.243863,,,
314.23,19.273565,,,
314.54,19.303243,,,
314.85,19.332896,,,
315.16,19.362521,,,
315.47,19.392119,,,
315.78,19.421688,,,
316.09,19.451226,,,
316.4,19.480734,,,
316.71,19.510208,,,
317.02,19.539649,,,
317.33,19.569055,,,
317.64,19.598426,,,
317.95,19.627759,,,
318.26,19.657055,,,
318.57,19.686311,,,
318.88,19.715528,,,
319.19,19.744703,,,
319.5,19.773836,,,
319.81,19.802926,,,
320.12,19.831973,,,
320.43,19.860974,,,
320.74,19.889929,,,
321.05,19.918837,,,
321.36,19.947698,,,
321.67,19.97651,,,
321.98,20.005272,,,
322.29,20.033984,,,
322.6,20.062644,,,
322.91,20.091253,,,
323.22,20.119808,,,
323.53,20.148309,,,
323.84,20.176756,,,
324.15,20.205148,,,
324.46,20.233483,,,
324.77,20.261761,,,
325.08,20.289982,,,
325.39,20.318144,,,
325.7,20.346247,,,
326.01,20.37429,,,
326.32,20.402273,,,
326.63,20.430194,,,
326.94,20.458053,,,
327.25,20.48585,,,
327.56,20.513584,,,
327.87,20.541253,,,
328.18,20.568859,,,
328.49,20.596399,,,
328.8,20.623874,,,
329.11,20.651282,,,
329.42,20.678624,,,
329.73,20.705898,,,
330.04,20.733105,,,
330.35,20.760243,,,
330.66,20.787312,,,
330.97,20.814312,,,
331.28,20.841242,,,
331.59,20.868101,,,
331.9,20.89489,,,
332.21,20.921607,,,
332.52,20.948253,,,
332.83,20.974827,,,
333.14,21.001328,,,
333.45,21.027756,,,
333.76,21.05411,,,
334.07,21.080391,,,
334.38,21.106598,,,
334.69,21.13273,,,
335,21.158787,,,
